1000,5
1100,4
1110,5
2000,4
2100,3
2110,4
2111,5
2200,6
2210,3
2211,4
2220,4
2221,5
3000,6
3100,3
3110,6
3111,4
3200,5
3210,3
3211,3
3220,6
3221,4
3222,5
3300,6
3310,5
3311,6
3320,3
3321,3
3322,4
3330,6
3331,4
3332,5
4000,4
4100,7
4110,4
4111,6
4200,2
4210,7
4211,3
4220,4
4221,6
4222,4
4300,3
4310,2
4311,5
4320,7
4321,3
4322,3
4330,4
4331,6
4332,4
4333,5
4400,4
4410,3
4411,6
4420,2
4421,5
4422,6
4430,7
4431,3
4432,3
4433,4
4440,4
4441,6
4442,4
4443,5
5000,6
5100,7
5110,6
5111,4
5200,7
5210,7
5211,7
5220,6
5221,4
5222,6
5300,5
5310,7
5311,2
5320,7
5321,7
5322,3
5330,6
5331,4
5332,6
5333,4
5400,5
5410,5
5411,3
5420,7
5421,2
5422,5
5430,7
5431,7
5432,3
5433,3
5440,6
5441,4
5442,6
5443,4
5444,5
5500,5
5510,5
5511,4
5520,5
5521,3
5522,6
5530,7
5531,2
5532,5
5533,6
5540,7
5541,7
5542,3
5543,3
5544,4
5550,6
5551,4
5552,6
5553,4
5554,5
6000,6
6100,7
6110,6
6111,6
6200,1
6210,7
6211,7
6220,6
6221,6
6222,4
6300,3
6310,1
6311,7
6320,7
6321,7
6322,7
6330,6
6331,6
6332,4
6333,6
6400,4
6410,3
6411,5
6420,1
6421,7
6422,2
6430,7
6431,7
6432,7
6433,3
6440,6
6441,6
6442,4
6443,6
6444,4
6500,5
6510,4
6511,5
6520,3
6521,5
6522,3
6530,1
6531,7
6532,2
6533,5
6540,7
6541,7
6542,7
6543,3
6544,3
6550,6
6551,6
6552,4
6553,6
6554,4
6555,5
6600,4
6610,5
6611,5
6620,4
6621,5
6622,4
6630,3
6631,5
6632,3
6633,6
6640,1
6641,7
6642,2
6643,5
6644,6
6650,7
6651,7
6652,7
6653,3
6654,3
6655,4
6660,6
6661,6
6662,4
6663,6
6664,4
6665,5
7000,4
7100,3
7110,4
7111,6
7200,5
7210,3
7211,7
7220,4
7221,6
7222,6
7300,6
7310,5
7311,1
7320,3
7321,7
7322,7
7330,4
7331,6
7332,6
7333,4
7400,3
7410,6
7411,3
7420,5
7421,1
7422,7
7430,3
7431,7
7432,7
7433,7
7440,4
7441,6
7442,6
7443,4
7444,6
7500,5
7510,3
7511,4
7520,6
7521,3
7522,5
7530,5
7531,1
7532,7
7533,2
7540,3
7541,7
7542,7
7543,7
7544,3
7550,4
7551,6
7552,6
7553,4
7554,6
7555,4
7600,3
7610,5
7611,5
7620,3
7621,4
7622,5
7630,6
7631,3
7632,5
7633,3
7640,5
7641,1
7642,7
7643,2
7644,5
7650,3
7651,7
7652,7
7653,7
7654,3
7655,3
7660,4
7661,6
7662,6
7663,4
7664,6
7665,4
7666,5
7700,6
7710,3
7711,4
7720,5
7721,5
7722,5
7730,3
7731,4
7732,5
7733,4
7740,6
7741,3
7742,5
7743,3
7744,6
7750,5
7751,1
7752,7
7753,2
7754,5
7755,6
7760,3
7761,7
7762,7
7763,7
7764,3
7765,3
7766,4
7770,4
7771,6
7772,6
7773,4
7774,6
7775,4
7776,5
8000,6
8100,3
8110,6
8111,4
8200,6
8210,3
8211,3
8220,6
8221,4
8222,6
8300,5
8310,6
8311,5
8320,3
8321,3
8322,7
8330,6
8331,4
8332,6
8333,6
8400,2
8410,5
8411,6
8420,6
8421,5
8422,1
8430,3
8431,3
8432,7
8433,7
8440,6
8441,4
8442,6
8443,6
8444,4
8500,7
8510,2
8511,3
8520,5
8521,6
8522,3
8530,6
8531,5
8532,1
8533,7
8540,3
8541,3
8542,7
8543,7
8544,7
8550,6
8551,4
8552,6
8553,6
8554,4
8555,6
8600,2
8610,7
8611,5
8620,2
8621,3
8622,4
8630,5
8631,6
8632,3
8633,5
8640,6
8641,5
8642,1
8643,7
8644,2
8650,3
8651,3
8652,7
8653,7
8654,7
8655,3
8660,6
8661,4
8662,6
8663,6
8664,4
8665,6
8666,4
8700,5
8710,2
8711,3
8720,7
8721,5
8722,5
8730,2
8731,3
8732,4
8733,5
8740,5
8741,6
8742,3
8743,5
8744,3
8750,6
8751,5
8752,1
8753,7
8754,2
8755,5
8760,3
8761,3
8762,7
8763,7
8764,7
8765,3
